分類,問い,回答
医療保険: マイナ保険証: マイナ保険証の利用申込み,マイナンバーカードの健康保険証利用の事前の申込みをするためのパソコンやスマートフォンを持っていません。どうしたら事前の申込みができますか。,"パソコンやスマートフォン等を利用することができない方でも、初めて医療機関等を受診していただいても顔認証付きカードリーダーの画面で、そのまま初回の利用登録ができます。また、セブン銀行のATMからも事前登録が可能です。
なお、一部の市区町村でも初回の利用登録ができます。お住まいの市町村にご確認ください。
なお、各市町村において設置する住民向け端末等を使用した場合は、申込完了後、必ずマイナポータルをログアウトしてください。

・セブン銀行ATMマイナンバーカードの健康保険証利用申込は、<こちら,https://www.sevenbank.co.jp/personal/atm/mynumbercard.html>をご確認ください。"EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,マイナンバーカードの利用者証明用電子証明書の更新をしました。更新してすぐにマイナンバーカードの健康保険証利用の申込はできますか。,"可能です。
ただし、健康保険証として医療機関等で利用できるようになる（登録完了）までに時間がかかる場合がございます。マイナポータルのホームタブ内「証明書」エリアから開くことのできる「健康保険証」ページにてマイナンバーカード利用が「登録済」と表示されると、医療機関等でご利用いただけます。

なお、利用者証明用電子証明書の更新前にマイナンバーカードの健康保険証利用の登録を行っている場合は、あらためて健康保険証利用の申込手続をする必要はありません。
 
詳細は<こちら,https://faq.myna.go.jp/faq/show/5066?back=front/category:show&category_id=110&page=1&site_domain=default&sort=sort_access&sort_order=desc>をご確認ください。"EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,保険者に登録情報を修正してもらいました。再度、健康保険証としての申込みの必要はありますか。,必要ありません。エラー分は、翌日未明にシステム上で再度確認が行われます。EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,旧姓併記のマイナンバーカードで健康保健証の利用申込はできますか。,旧姓併記されたマイナンバーカードでの健康保険証利用申請は可能です。EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,マイナンバーカードの利用者証明用電子証明書の有効期限が切れたため、更新手続を行いました。再度、保険証の利用登録をする必要はありますか。,過去に1度でもマイナンバーカードの健康保険証利用の利用登録を行った場合は、利用者証明用電子証明書を更新した場合でも再登録は不要です。EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,健康保険証の利用申込みをすると、取り消しできないのでしょうか。,健康保険証の利用申込みを取り消すことはできません。なお、利用申込みはしたものの、マイナンバーカードを健康保険証として利用しないことで、不利益が生じることはありません。EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,子供のマイナンバーカードの健康保険証利用申込方法を教えてください。,"お子さまが利用申込みを行うことが難しい場合には、お子さまに代わって保護者様がお子さまのマイナンバーカードを読み取り、利用者証明用電子証明書の数字4桁の暗証番号を入力するなどにより、同じスマートフォン端末やPCでご登録いただけます。

利用者登録の手順につきましては、<こちら,https://img.myna.go.jp/manual/sitemap.html#sitemap02-05>をご確認ください。

ただし、登録の際には保険証の利用登録の対象となる方のマイナンバーカードでログインしている必要がございます。
つきましては、親などの法定代理人がお子さまに代わってマイナポータルから登録を行う際には、ログインに使用したマイナンバーカードが本人（お子さま）のマイナンバーカードであるかご確認いただいてから、健康保険証利用の申込みを行ってください。
ご両親のマイナンバーカードでログインしていた場合には、マイナポータルからログアウトしていただいた後に、本人（お子さま）のマイナンバーカードでログインして健康保険証利用の申込みを行ってください。
 
詳細は<こちら,https://faq.myna.go.jp/faq/show/3569?back=front/category:show&category_id=107&page=2&site_domain=default&sort=sort_access&sort_order=desc>をご確認ください。"EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,自衛官はマイナンバーカードを自衛官診療証として利用登録できますか。,現在、マイナンバーカードを自衛官診療証として利用登録をすることはできません。なお、自衛官診療証をマイナンバーカードの一体化については、防衛省において実施に向けて検討しています。EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,セブン銀行のATMでマイナンバーカードの健康保険証利用の申込みをする場合、何が必要になりますか。,ご自身のマイナンバーカードのみとなります。その際、マイナンバーカードの数字4桁の暗証番号（利用者証明用電子証明書パスワード）が必要となります。ご自身のマイナンバーカードをご持参いただき、ATM画面表示の案内に沿って申込みをお願いいたします。EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,セブン銀行のATMでマイナンバーカードの健康保険証利用の申込みができる時間帯、曜日は決まっていますか。,原則24時間365日お申込みいただけます。ただし、一部、駅や商業施設等設置のATMは施設所定の営業時間に準じ、24時間ご利用いただけない場合があります。EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,セブン銀行のATMでマイナンバーカードの健康保険証利用の申込みをすると手数料はかかりますか。,手数料はかかりません。EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,セブン銀行のATMで子どものマイナンバーカードの健康保険証利用の申込みはできますか。,お子さま本人が利用申込を行うことが難しい場合には、子どもに代わって保護者がお子さまのマイナンバーカードを読み取り、利用者証明用電子証明書の数字4桁の暗証番号を入力するなどにより、利用申込を行うことができます。EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,マイナンバーカードの健康保険証利用登録画面で「あなたの有効な保険資格情報がないため、正常に処理できませんでした。」と表示されます。どうすればよいですか。,"登録しようとしている健康保険証が、下記の場合、被保険者番号を確認できないため、該当のメッセージが表示されます。
・自衛官診療証（自衛官等）
・健康保険被保険者受給資格者票（健康保険日雇特例被保険者）
・健康保険被保険者特別療養費受給票（健康保険日雇特例被保険者）
・医療扶助の医療券・調剤券（生活保護受給者）
上記のケースに当てはまらずに表示がなされた場合、健康保険証の発行元である保険者において、保険証の情報が登録されていない可能性があります。
この場合は、国民健康保険の場合は市区町村役所の窓口まで、会社等で社会保険に加入されている場合はご所属の保険者（健康保険組合、協会けんぽ、共済組合など）までお問い合わせください。"EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,「マイナンバーカードの健康保険証利用申込」にて「あなたの被保険者番号が見つからないため、利用設定ができません。」と表示されます。どうすればよいですか。,"登録しようとしている健康保険証が下記の場合、被保険者番号を確認できないため、該当のメッセージが表示されます。
　・自衛官診療証（自衛官等）
　・健康保険被保険者受給資格者票（健康保険日雇特例被保険者）
　・健康保険被保険者特別療養費受給票（健康保険日雇特例被保険者）
　・医療扶助の医療券・調剤券（生活保護受給者）
上記に当てはまらずに表示がなされた場合、健康保険証の発行元である保険者において、保険証の情報が登録されていない可能性があります。
国民健康保険の場合は市区町村役所の窓口まで、会社等で社会保険に加入されている場合はご所属の保険者（健康保険組合、協会けんぽ、共済組合など）までお問い合わせください。"EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,スマートフォンでマイナンバーカードを読み取るとき、エラーは出ないが、ずっと読み取れません。,"マイナンバーカードをスマートフォンに当てる位置が正しくない可能性があります。
以下のように、押し当ててください。
 
〇iPhoneの場合
スマートフォンの上部に、マイナンバーカードの中心を、押し当てて、動かさずに、しばらくお待ちください。
なお、スマートフォンのケースを外すと、さらに読み取りやすくなるので、お試しください。
詳しい位置等は、<こちら,https://www2.jpki.go.jp/faq/trouble/nfc/iphonefaq.pdf>をご覧ください。
 
〇Androidの場合
裏面のモバイル非接触IC通信マークに、マイナンバーカードの中心を、押し当てて、動かさずに、しばらくお待ちください。
なお、スマートフォンのケースを外すと、さらに読み取りやすくなるので、お試しください。
一部の機種については、詳しい位置等をご案内していますので、<こちら,https://www.jpki.go.jp/prepare/reader_writer/android.html>をご覧ください。"EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,「お手持ちのカード内証明書は有効期限間近であるため、利用申し込みを受け付けることができません。市区町村の窓口でカード内証明書の更新手続きを行ってから、再度お申込みください。」と表示されました。,利用者証明用電子証明書（暗証番号が数字4桁のもの）の有効期限までの期間が5日以内となると、マイナンバーカードの健康保険証利用の申込みができなくなります。住民票がある市区町村の窓口にて、電子証明書の更新手続を行ってください。なお、申込いただき、登録が完了していれば、有効期限の5日前であっても医療機関等で健康保険証としてご使用いただけます。EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,iPhoneで申請しようとしたところ、利用対象のOSの種類・バージョンであり、マイナポータルアプリをインストール済みにもかかわらず、動作環境チェック画面で「マイナポータルのインストールがされていません」と表示されます。,"ご利用のブラウザがPC用画面を表示する設定になっている可能性があります。
ブラウザ上部のアドレスバー左側の「AA」を押し、「モバイル用Webサイトを表示」を選択して、再度お試しください。
 
<こちら,https://faq.myna.go.jp/faq/show/3518?back=front/category:show&category_id=116&page=2&site_domain=default&sort=sort_access&sort_order=desc>を参考に、ホーム画面から必要な操作を実施して下さい。"EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,マイナンバーカードのパスワードを忘れた場合、どうすればよいですか。（利用者証明用電子証明書（数字4桁）、署名用電子証明書（英数字6～16文字）、住民基本台帳用（数字4桁）、券面事項入力補助用（数字4桁））,"パスワード（暗証番号）をお忘れの場合は、住民票がある市区町村にて初期化・再設定を行う必要があります。詳細につきましては、市区町村にお問い合わせください。
利用者証明用電子証明書の暗証番号がわかる場合には、署名用電子証明書の暗証番号を、コンビニエンスストア等のキオスク端末で初期化・再設定することができます。
詳しいご利用方法については以下をご覧ください。
<署名用パスワードをコンビニで初期化,https://www.jpki.go.jp/jpkiidreset/howto/index.html>"EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,電子証明書の更新期限を過ぎてしまった場合、どうすればよいですか。,"更新期限を過ぎても、電子証明書の再発行は可能です。
市区町村によっては手続の事前予約が必要な場合もありますので、詳細についてはお住まいの市区町村にお問い合わせください。"EOL
医療保険: マイナ保険証: マイナ保険証の利用申込み,マイナポータルで健康保険証利用の申込状況を確認すると「数日おいて状況照会してください」と表示されます。どうしたらいいですか。,健康保険証利用申込は登録完了までに数日かかりますので、数日後にご確認ください。EOL
医療保険: マイナ保険証: マイナ保険証の利用,マイナンバーカードを持参すれば、健康保険証がなくても医療機関等を受診できますか。,オンライン資格確認が導入されている医療機関・薬局では、マイナンバーカードを持参すれば健康保険証がなくても利用できます。オンライン資格確認が導入されていない医療機関・薬局では、引き続き健康保険証が必要です。EOL
医療保険: マイナ保険証: マイナ保険証の利用,マイナンバーカードを健康保険証として利用できる医療機関・薬局を教えてください。,"マイナンバーカードを健康保険証として利用できるオンライン資格確認について、令和5年4月1日より、保険医療機関・薬局においてシステム導入が原則として義務づけられており、順次導入を進めています。
厚生労働省のウェブサイトに、マイナンバーカードが健康保険証として使える（オンライン資格確認を導入している）<医療機関・薬局の一覧,https://www.mhlw.go.jp/stf/index_16743.html>を掲載しています。また、導入している医療機関・薬局においても、マイナンバーカードが健康保険証として使えることがわかるよう、ポスター等を院内等に掲示していただくようお願いしています。"EOL
医療保険: マイナ保険証: マイナ保険証の利用,マイナンバーカードを健康保険証として利用する場合、受診の度に毎回持参する必要がありますか。,マイナンバーカードを健康保険証として利用する場合、毎回、医療機関・薬局において顔認証付きカードリーダーで本人確認を行っていただくようお願いします。その際、健康・医療情報の提供に同意いただくと、その医療機関・薬局の医師等があなたの健康・医療情報を活用することができるようになり、より良い医療を受けることも可能となります。なお、健康・医療情報の提供は、同意をいただいた医療機関・薬局に限られ、システム上、24時間で閲覧できなくなります。EOL
医療保険: マイナ保険証: マイナ保険証の利用,健康保険証利用の登録が完了していれば、利用者証明用電子証明書の有効期限の5日以内でもマイナンバーカードを健康保険証として利用できますか。,利用できます。ただし、有効期限が5日を切ると健康保険証の利用登録の申込の場合は、申込ができなくなります。EOL
医療保険: マイナ保険証: マイナ保険証の利用,病院や薬局に行くときにマイナンバーカードを忘れた場合はどうしたらいいですか。,健康保険証があれば、健康保険証をご提示ください。健康保険証も持参していない場合は、現行の健康保険証を忘れた場合の取扱いと同様になります。EOL
医療保険: マイナ保険証: マイナ保険証の利用,全ての医療機関・薬局でマイナンバーカードを健康保険証として使えますか。,"マイナンバーカードを健康保険証として利用できるオンライン資格確認について、令和5年4月1日より、保険医療機関・薬局においてシステム導入が原則として義務づけられており、順次導入を進めています。
<厚生労働省のウェブサイト,https://www.mhlw.go.jp/stf/index_16743.html>に、マイナンバーカードが健康保険証として使える（オンライン資格確認を導入している）医療機関・薬局の一覧を掲載しています。また、導入している医療機関・薬局においても、マイナンバーカードが健康保険証として使えることがわかるよう、ポスター等を院内等に掲示していただくようお願いしています。"EOL
医療保険: マイナ保険証: マイナ保険証の利用,マイナンバーカードを健康保険証として利用する場合の、医療機関や薬局での受付方法を教えてください。,"◎　マイナンバーカードの場合
　受付時に、患者自らがマイナンバーカードを窓口に設置されたカードリーダー（マイナンバーカードのICチップの読み取り機能があるカードリーダー）に置きます。
1.「顔認証付きカードリーダー」の場合は、
・顔認証（カードのICチップ内の写真データと窓口で撮影した顔を比較）　又は
・患者が4桁の暗証番号を入力
により、本人確認を行います（窓口職員の目視も可）。
2.「汎用カードリーダー」の場合は、
・患者が4桁の暗証番号を入力　又は
・窓口職員の目視
により本人確認を行います。
 
◎　健康保険証の場合
従来どおり、受付窓口で患者は健康保険証を提示します。"EOL
医療保険: マイナ保険証: マイナ保険証の利用,オンライン資格確認に関するよくある質問はどこで見られますか。,"オンライン資格確認に関するよくある質問については、<こちら,https://www.mhlw.go.jp/stf/newpage_08277.html>をご覧ください。"EOL
医療保険: マイナ保険証: マイナ保険証の利用,マイナンバーカードを健康保険証として利用した場合の窓口負担はどのようになりますか。,"マイナンバーカードを健康保険証として利用した場合には、医療機関がオンラインで薬剤情報などの患者情報を確認でき、問診等の業務負担が減ると考えられることから窓口負担が低くなります。
この場合、薬剤情報などの提供について同意していただくことが必要です。同意がない場合には、従来の保険証で受診した際と同じ負担となります。
詳しくは<こちら,https://www.mhlw.go.jp/stf/newpage_08277.html#Q4>をご確認ください。"EOL
医療保険: マイナ保険証: マイナ保険証の利用,健康保険証と同じように、医療機関や薬局の受付でマイナンバーカードを預けるのですか。,医療機関・薬局の窓口では、基本的にマイナンバーカードは預かりません。EOL
医療保険: マイナ保険証: マイナ保険証の利用,マイナンバーカードを健康保険証として登録することで窓口への持参が不要となるものは何ですか。,"・被保険者証（健康保険被保険者証 / 国民健康保険被保険者証 / 高齢受給者証等）
・被保険者資格証明書
・限度額適用認定証 / 限度額適用・標準負担減額認定証
・特定疾病療養受療証
等の持参が不要となります。
なお、限度額適用認定証 / 限度額適用・標準負担額減額認定証は、従来は事前に申請する必要がありましたが、今後オンライン資格確認が導入された医療機関では、原則として、申請なしに限度額が適用されます。"EOL
医療保険: マイナ保険証: マイナ保険証の利用,マイナンバーカードを健康保険証として利用する場合、医療機関・薬局がマイナンバー（12桁の番号）を取り扱うのですか。,医療機関・薬局がマイナンバー（12桁の番号）を取り扱うことはありません。マイナンバー（12桁の番号）ではなく、マイナンバーカードのICチップ内の利用者証明用電子証明書（4桁の番号）を利用します。 EOL
医療保険: マイナ保険証: マイナ保険証の利用,訪問診療やオンライン診療ではマイナンバーカードを健康保険証として利用できないのですか。,医療機関・薬局が行う訪問診療等、オンライン診療等におけるマイナンバーカードの保険証利用については、令和6年4月からの運用開始を目指しており、訪問看護事業者が行う訪問看護においては、令和6年6月からの運用開始を予定しています。EOL
医療保険: マイナ保険証: マイナ保険証の利用,マイナンバーカードの健康保険証が使えない小規模な医療機関でも保険診療を受けられるよう、「資格情報のお知らせ」を出すとの報道を見ましたが、どういうものですか。,今後、マイナンバーカードの健康保険証利用登録をされている方などには、ご自身の被保険者資格を簡易に把握できるよう、保険者から、氏名、被保険者等記号・番号等が記載された「資格情報のお知らせ」が交付され、マイナ保険証とともに窓口で提示することで、マイナ保険証の読み取りができない例外的な場合でも受診することができます。ただし、「資格情報のお知らせ」のみでは医療機関・薬局を受診等することはできません。EOL
医療保険: マイナ保険証: マイナ保険証の利用,本人が子どもなので、顔認証付きカードリーダーを操作できないのですが、どうしたらいいですか。,"お子さま本人が窓口で本人確認を行うことが難しい場合には、親等の代理人がお子さまのマイナンバーカードをカードリーダーに置き、暗証番号を入力することで、本人確認をすることができます。
※待合スペース等にいるお子さまのお顔とマイナンバーカードの写真を職員が目視で確認する本人確認も可能です。"EOL
医療保険: マイナ保険証: マイナ保険証の利用,障害がある等の場合、家族や職員にカードリーダーの操作の介助をお願いしてもよいですか。,"患者の希望によりご本人に支援を行うことを妨げるものではありません。
ご自身でマイナンバーカードを顔認証付きカードリーダーに置くことが難しい等のやむを得ない事情があり、患者ご本人から希望があった場合など、家族の方や介助者、職員等が患者のマイナンバーカードを顔認証付きカードリーダーに置く等の必要な支援を行うことは、差し支えありません。"EOL
医療保険: マイナ保険証: マイナ保険証の利用,顔認証付きカードリーダーで写真は撮られますか。また、その写真は保存されますか。,顔認証で資格確認を行う場合、顔認証付きカードリーダーがご本人様の顔を撮影します。ただし、マイナンバーカードのICチップ内に保存されている顔画像と、顔認証付きカードリーダーが撮影した顔画像が同一人であるかどうかを確認した後に撮影画像のデータは即時削除され、顔画像のデータが保存されることはありません。EOL
医療保険: マイナ保険証: マイナ保険証の利用,医療機関等でオンライン資格確認を利用したら「資格（無効）」や「資格情報なし」と表示されるのですが、なぜこうした事象が起こるのですか。,転職等により医療保険の資格変更があった場合には、資格変更後の保険者が、事業主から資格取得届の提出を受けて、新たな資格情報をオンライン資格確認等システムに登録します。事業主から保険者への届出は5日以内とされていますが、データ登録までには一定の期間を要するため、この間に医療機関等でオンライン資格確認を利用すると、「資格（無効）」や「資格情報なし」と表示されます。EOL
医療保険: マイナ保険証: マイナ保険証の利用,医療機関や薬局においてマイナンバーカードを健康保険証として利用する際の「カードリーダー」とはどのようなものですか。,"医療機関や薬局に設置されている「顔認証付きカードリーダー」とは、マイナンバーカードを健康保険証として利用する際に、マイナンバーカードの顔写真データをICチップから読み取り、その「顔写真データ」と窓口で撮影した「本人の顔写真」と照合して、本人確認を行うことができる機器です。
顔認証方法以外にも、4桁の暗証番号入力や窓口職員によるマイナンバーカードの顔写真の目視確認の方法で本人確認をすることができます。"EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,マイナポータルの「わたしの情報」で閲覧できる最新の健康保険証情報確認とは何ですか。,その時点の健康保険証の情報（保険者名称、被保険者番号等）を確認できる機能です。EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,マイナポータルの「最新の健康保険証情報の確認」で健康保険証情報を取得すると交付年月日が健康保険証に記載されている交付年月日と異なります。,国民健康保険被保険者証または後期高齢者医療被保険証をお持ちの場合、お持ちの健康保険証と交付年月日が異なる場合がございます。それ以外の健康保険証をお持ちの場合は、大変お手数ですが、ご加入の医療保険者にお勤め先等を介してお問合せください。EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,健康保険証情報の照会可能な検索条件を確認したいです。,"取得依頼対象日に「最新の情報を取得」を選択した場合には最新（検索時点の年月日）の健康保険証情報を確認します。取得依頼対象日に「指定して取得」を選択した場合には指定した年月日の健康保険証情報を確認します。
取得依頼対象日は令和2年10月1日より選択が可能です。"EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,閲覧したマイナポータルで表示される健康保険証情報の氏名に漢字の誤りがあります。どうすればよいですか。,"マイナポータルでは、健康保険証情報のデータを保有していません。
表示結果の内容に関しは、当該情報を保有する現在加入中の保険者（健康保険証の発行元。国民健康保険ご加入の方はお住まいの自治体）にお問い合わせください。"EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,マイナポータルの「わたしの情報」で閲覧した健康保険証情報が古いものでした。どのようにしたらよいですか。,会社等にお勤めの方はお勤め先へ、それ以外の方はお住まいの市区町村へお問い合わせください。EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,家族分（被代理人分）の健康保険証情報なども閲覧できますか。,"わたしの情報のうち、以下の情報は家族分（被代理人分）についての閲覧はできません。
・健康保険証情報
・診療・薬剤情報
・処方情報
・調剤情報
・薬剤情報
・特定健診・後期高齢者健診情報
・医療保険情報の提供状況"EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,マイナポータルの「最新の健康保険証情報の確認」で健康保険証情報を取得すると氏名等に「●(黒丸)」が表示されます。,"医療保険に登録している氏名に使われている漢字が外字等の文字のため、「●」に変換して表示しています。
「●」を回避したい場合は、標準文字に変更する等をご加入の医療保険者にお勤め先等を介してご相談ください。"EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,マイナポータルの「わたしの情報」で閲覧した健康保険証情報の氏名以外の項目に誤りがあります。,会社等にお勤めの方はお勤め先へ、それ以外の方はお住まいの市区町村へお問い合わせください。EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,健康保険証情報が存在するはずなのにマイナポータルに表示されません。,「わたしの情報」（自己情報）から自身の保険者を確認し、会社等にお勤めの方はお勤め先へ、それ以外の方はお住まいの市区町村へお問い合わせください。EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,電子処方箋を利用した時にマイナポータルの「わたしの情報」で閲覧できる処方情報で確認できる引換番号の用途は何ですか。,"電子処方箋を導入している保険薬局で健康保険証を利用する場合、引換番号を伝達することでお薬を受け取ることができます。なお、薬局でマイナンバーカードで受付を行う場合は、引換番号の伝達は必須ではありませんが、引換番号などを電話やFAX、アプリなどで来局前に伝えることで、薬局側が電子処方箋管理サービスから電子処方箋を取り出すことができるので、来局前から調剤を開始でき、皆さんの薬局での待ち時間が短くなることもあります。
なお、保険医療機関で電子処方箋を利用した際、医療期間から提供される紙の処方内容（控え）でも引換番号が確認できますが、処方内容（控え）の運用は、将来廃止される可能性があります。
※電子処方箋の概要については、<厚生労働省ウェブサイト,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/denshishohousen_kokumin.html>をご参照ください。"EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,受診した医療機関や薬局の情報（医療機関等の名称）をマイナポータルや医療機関等で閲覧できますか。,閲覧可能です。EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,ドラッグストア等で、処方箋を提出しないで市販の薬剤を購入する場合、その薬剤情報や医療費通知情報をマイナポータル等で閲覧できますか。,市販の薬剤を購入した情報は、閲覧できません。EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,保険医療適用外の受診等について、その薬剤情報や医療費情報をマイナポータルで閲覧できますか。,閲覧できません。EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,マイナポータルの「わたしの情報」では過去何年分の健診情報の閲覧が可能ですか。,令和2年度以降に実施し順次登録された5年間分の情報が閲覧できます。EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,マイナポータルの「わたしの情報」の薬剤情報ではどのような情報が閲覧できますか。,令和3年9月診療分以降のレセプト（医科・歯科・調剤、DPC)から抽出された3年間分の情報が閲覧可能です。また、ジェネリック医薬品へ切り替えた場合の削減可能額やお薬手帳アプリへ連携可能なQRコードが閲覧できます。EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,マイナポータルの「わたしの情報」で閲覧できる医療費通知情報に含まれない費用は、どのようなものがありますか。,"マイナポータルでの医療費通知情報は、医療機関等で受診した医療の費用を対象としていますので、例えばドラッグストアで購入したお薬の費用は対象外となります。
その他、以下のケースも取得の対象外です。
・高額な医療費を医療機関等の窓口で支払い、後日、保険者から支給を受けた場合の高額療養費
・立て替え払いをしたときの療養費（保険資格を確認できずに受診した場合やコルセット等の治療用装具を作成した場合など）
・はり・きゅう、あんま・マッサージ・指圧の施術費用
・整骨院・接骨院で受けたときの柔道整復療養費
・保険適用外の費用（自由診療や差額ベッド代など）"EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,マイナポータルの「わたしの情報」で閲覧できる医療費通知情報の更新日はいつですか。,"マイナポータルで取得する医療費通知情報は、受診した月の翌々月11日に更新されます。確定申告に利用するための1年間分の医療費通知情報は、原則として翌年の2月9日に申告年分の1月から12月分までの情報が一括で取得することが可能となります。
なお、「保険医療機関・保険薬局の窓口で支払った、公的医療保険に係る医療費にもかかわらず医療費通知情報に含まれていない医療費がある」等の表示結果の内容についてのお問い合わせは、該当の医療機関までお問い合わせください。"EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,マイナポータルの「わたしの情報」では過去何年分の診療情報や薬剤情報が閲覧可能ですか。,"診療情報は、令和4年6月以降に提出されたレセプト（医科・歯科・調剤、DPC）から抽出された3年間分の診療行為の情報が閲覧可能です。
薬剤情報は、令和3年9月以降の診療分のレセプト（医科・歯科・調剤、DPC)から抽出された3年間分の薬剤の情報が閲覧可能です。"EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,マイナポータルの「わたしの情報」で閲覧できる医療保険情報の提供状況は何が確認できますか。,ご本人同意のもと医療関係者及び保険者に特定健診情報・後期高齢者健診情報、診療・薬剤情報、薬剤情報が提供された状況・履歴が確認できます。EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,電子処方箋を導入した医療機関・薬局を受診すると、マイナポータルの「わたしの情報」で閲覧できる処方情報、調剤情報ではどのような情報が閲覧できますか。,"電子処方箋を導入した保険医療機関・保険薬局を利用した場合は、その処方情報・調剤情報の閲覧ができます。
処方情報では、医師が交付した処方箋の情報がすぐに閲覧できます。なお、処方情報からは、電子処方箋の引換番号も確認することができます。電子処方箋を導入している保険薬局で健康保険証を利用する場合、引換番号を伝達することでお薬を受け取ることができます。なお、薬局でマイナンバーカードで受付を行う場合は、引換番号の伝達は必須ではありませんが、引換番号などを電話やFAX、アプリなどで来局前に伝えることで、薬局側が電子処方箋管理サービスから電子処方箋を取り出すことができるので、来局前から調剤を開始でき、皆さんの薬局での待ち時間が短くなることもあります。
また、調剤情報では、保険薬局で実際に受け取ったお薬の情報が閲覧できます。
なお、閲覧できる処方情報、調剤情報には現在、院内処方の薬は含まれません。"EOL
医療保険: マイナ保険証: マイナ保険証で確認できる情報,電子処方箋を導入した医療機関・薬局を受診すると、マイナポータルの「わたしの情報」では過去何日分の処方情報、調剤情報が閲覧可能ですか。,電子処方箋を導入した保険医療機関・保険薬局を利用した場合は、マイナポータルの処方情報・調剤情報から、直近～過去100日分閲覧することができます。約1ヶ月半前～最大3年間の情報が診療・薬剤情報から閲覧可能です。EOL
医療保険: マイナ保険証: その他,"スマホ用利用者証明用電子証明書とは何ですか。
",スマートフォンに登録できる利用者証明用電子証明書（暗証番号が数字4桁のもの）のことです。利用者証明用電子証明書は、マイナポータル等インターネットのウェブサイト等にログインする際に利用し、「ログインした者が、利用者本人であること」を証明することができます。EOL
医療保険: マイナ保険証: その他,マイナンバーカードの暗証番号がロックされた場合、健康保険証としては利用できますか。,"医療機関・薬局でマイナンバーカードを健康保険証として利用する場合、暗証番号がロックされていても、顔認証付きカードリーダーで顔認証または窓口職員によるマイナンバーカードの顔写真の目視確認で本人確認が可能ですので、健康保険証として利用いただくことは可能です。
暗証番号のロックを解除するためには、住民票のある市区町村窓口等で利用者証明用電子証明書パスワード（4桁の番号）の再設定を行ってください。"EOL
医療保険: マイナ保険証: その他,マイナンバーカードによるオンライン資格確認は、生活保護受給者の医療券も対象ですか。,"令和6年3月より生活保護受給者の資格情報の確認がオンラインで可能となります。
医療機関・薬局において、医療保険のオンライン資格確認の仕組みを活用し、生活保護受給者の資格確認および医療券・調剤券情報をオンラインで確認できるようになります。
また、受給者の同意のもと、併せて診療・薬剤情報・健診等情報が閲覧可能となります。"EOL
医療保険: マイナ保険証: その他,有効期限が最長5年の「資格確認書」を発行するとの報道を見ましたが、どういうものですか。,健康保険証の新規発行の停止後においては、マイナンバーカードをお持ちでない方、マイナンバーカードの健康保険証利用登録をされていない方などには、保険者から、氏名・生年月日、被保険者等記号・番号、保険者情報等が記載された「資格確認書」が交付され、「資格確認書」で医療機関・薬局を受診等することができます。EOL
